Paises;Sum of deaths;health expend_2019;health expend_2020;TotalPop;Deaths_pc
Saint Vincent and the Grenadines;0;3.750.258.179;4.016.103.516;110593;0
San Marino;51;3.951.051.025;3.937.656.006;34453;0,001480277
Sao Tome and Principe;17;1.049.457.245;1.069.239.044;215048;7,91E-05
Saudi Arabia;6048;0;0;34268529;0,000176488
Senegal;349;6.575.260.925;7.677.999.878;16296362;2,14E-05
Serbia;2331;6.410.321.655;6.723.267.822;6963764;0,000334733
Seychelles;0;7.866.508.789;7.269.081.421;97741;0
Sierra Leone;75;4.481.790.924;4.320.675.278;7813207;9,60E-06
Singapore;29;282.601.001;3.536.996.094;5804343;5,00E-06
Sint_Maarten;26;Na;Na;42389;0,000613367
Slovakia;1175;1.342.074.829;1.393.624.268;5450421;0,00021558
Slovenia;1459;2.219.100.586;241.720.874;2080908;0,000701136
Solomon Islands;0;1.038.037.033;9.912.821.198;669821;0
Somalia;121;Na;Na;15442906;7,84E-06
South Africa;23276;5.504.802.246;4.896.435.852;58558267;0,000397484
Republic of Korea;587;2.595.223.389;2.642.414.307;51225321;1,15E-05
South Sudan;62;2.371.821.594;3.323.439.407;11062114;5,60E-06
Spain;47624;2.712.509.033;2.900.645.264;46937060;0,001014635
Sri Lanka;152;1.420.511.627;1.510.559.998;21323734;7,13E-06
Sudan;1347;3.598.295.401;2.339.452.934;42813237;3,15E-05
Suriname;117;592.975.769;4.595.627.747;581363;0,000201251
Sweden;7514;5.652.989.746;6.027.967.285;10230185;0,000734493
Switzerland;5378;9.666.980.469;103.097.627;8544527;0,000629409
Syria;518;0;0;17070132;3,03E-05
Taiwan;7;Na;Na;23773881;2,94E-07
Tajikistan;88;6.176.633.072;6.969.489.288;9321023;9,44E-06
Thailand;60;294.460.083;3.050.879.211;69625581;8,62E-07
Timor-Leste;0;7.926.290.131;1.208.697.434;1293120;0
Togo;66;4.942.482.758;5.349.979.782;8082359;8,17E-06
Trinidad and Tobago;122;107.189.624;1.030.712.402;1394969;8,75E-05
Tunisia;3894;1.897.496.948;2.216.846.771;11694721;0,000332971
Turkey;16199;3.974.091.187;3.952.404.175;82003882;0,000197539
Turks_and_Caicos_islands;6;Na;Na;38194;0,000157093
Uganda;221;3.340.487.289;3.390.138.245;44269587;4,99E-06
Ukraine;15247;2.469.130.249;2.697.290.039;43993643;0,000346573
United Arab Emirates;617;1.947.130.737;2.121.446.777;9770526;6,31E-05
United Kingdom;64170;4.265.201.172;4.926.631.348;66647112;0,000962832
United Republic of Tanzania;21;3.956.215.286;3.930.883.408;58005461;3,62E-07
United States of America;299177;1.066.102.832;1.170.240.918;329064917;0,000909173
United_States_Virgin_Islands;23;Na;Na;104579;0,000219929
Uruguay;92;16.770.979;1.429.512.695;3461731;2,66E-05
Uzbekistan;612;985.874.176;1.205.044.403;32981715;1,86E-05
Vanuatu;0;101.974.411;1.142.296.219;299882;0
Venezuela;949;1.132.597.885;1.424.585.877;28515829;3,33E-05
Vietnam;35;1.736.504.517;166.231.842;96462108;3,63E-07
Wallis_and_Futuna;0;Na;Na;0;0
Western_Sahara;1;Na;Na;582458;1,72E-06
Yemen;606;0;0;29161922;2,08E-05
Zambia;367;674.577.713;5.375.365.829;17861034;2,05E-05
Zimbabwe;307;5.480.850.601;5.067.650.986;14645473;2,10E-05
